,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Predicted Price
707,Air India,12/06/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 13 Jun,16h 5m,1 stop,No info,20081.0
708,Vistara,21/05/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,36960.0
709,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,08:15 02 Mar,13h 35m,1 stop,No info,19122.0
710,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,21347.0
711,SpiceJet,15/04/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 16 Apr,2h 55m,non-stop,No info,35991.0
712,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,04:25 04 Jun,19h 25m,1 stop,In-flight meal not included,17923.0
713,IndiGo,1/03/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:35,1h 30m,non-stop,No info,36102.0
714,IndiGo,6/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:35,21:20,13h 45m,2 stops,No info,27201.0
715,Air Asia,15/03/2019,Kolkata,Banglore,CCU → BLR,19:35,22:05,2h 30m,non-stop,No info,36076.0
716,Air India,15/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,14:25,19:15 16 Jun,28h 50m,2 stops,No info,21949.0
717,Air India,6/03/2019,Mumbai,Hyderabad,BOM → BLR → HYD,09:15,18:05,8h 50m,1 stop,No info,34859.0
718,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included,27285.0
719,Jet Airways,9/03/2019,Delhi,Cochin,DEL → DED → BOM → COK,16:50,04:25 11 Mar,35h 35m,2 stops,No info,18382.0
720,Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,15:15,6h 20m,1 stop,In-flight meal not included,12488.0
721,IndiGo,27/03/2019,Delhi,Cochin,DEL → BOM → COK,06:40,13:20,6h 40m,1 stop,No info,25934.0
722,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,09:15,19:00,9h 45m,1 stop,No info,22043.0
723,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,23545.0
724,Air India,18/05/2019,Kolkata,Banglore,CCU → BOM → AMD → BLR,09:25,05:25 19 May,20h,2 stops,No info,41703.0
725,Air India,27/05/2019,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,05:15,07:40 28 May,26h 25m,3 stops,No info,26792.0
726,IndiGo,21/04/2019,Banglore,Delhi,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,36313.0
727,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,In-flight meal not included,21679.0
728,IndiGo,9/06/2019,Delhi,Cochin,DEL → MAA → COK,07:15,12:30,5h 15m,1 stop,No info,37351.0
729,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,26922.0
730,Vistara,18/05/2019,Banglore,Delhi,BLR → DEL,11:30,14:20,2h 50m,non-stop,No info,36029.0
731,Vistara,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:25,6h 25m,1 stop,No info,22761.0
732,SpiceJet,24/06/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,36396.0
733,IndiGo,12/03/2019,Chennai,Kolkata,MAA → CCU,14:40,17:05,2h 25m,non-stop,No info,36400.0
734,Air India,1/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 02 Jun,30h 20m,2 stops,No info,23194.0
735,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 19 May,20h 10m,1 stop,In-flight meal not included,20866.0
736,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → HYD → COK,09:45,16:10,6h 25m,1 stop,No info,24644.0
737,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,25858.0
738,SpiceJet,12/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,35942.0
739,IndiGo,9/05/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,36117.0
740,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,22:35,8h 30m,1 stop,In-flight meal not included,20041.0
741,Jet Airways,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,No info,27053.0
742,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,22:35,8h 30m,1 stop,No info,19725.0
743,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,09:20 16 May,14h 25m,1 stop,No info,20185.0
744,IndiGo,15/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,01:30 16 Jun,16h 15m,1 stop,No info,10689.0
745,SpiceJet,12/06/2019,Delhi,Cochin,DEL → MAA → COK,15:45,22:05,6h 20m,1 stop,No info,22737.0
746,Air India,24/06/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,35654.0
747,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,00:45 02 Mar,17h 45m,1 stop,No info,16622.0
748,Air India,12/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,09:25,01:20 13 May,15h 55m,2 stops,No info,19053.0
749,Air Asia,6/06/2019,Kolkata,Banglore,CCU → BLR,22:50,01:20 07 Jun,2h 30m,non-stop,No info,35807.0
750,Air India,9/06/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,21:50,9h 50m,2 stops,No info,23145.0
751,IndiGo,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,21702.0
752,Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,37114.0
753,Jet Airways,12/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 13 Jun,13h 50m,2 stops,No info,18176.0
754,IndiGo,9/03/2019,Delhi,Cochin,DEL → COK,14:30,17:35,3h 5m,non-stop,No info,36564.0
755,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,21937.0
756,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1 stop,No info,29663.0
757,IndiGo,27/03/2019,Delhi,Cochin,DEL → BOM → COK,09:10,01:35 28 Mar,16h 25m,1 stop,No info,12218.0
758,IndiGo,6/06/2019,Delhi,Cochin,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No info,37576.0
759,IndiGo,12/06/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,36374.0
760,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,18:55,21:45,2h 50m,non-stop,No info,5571.0
761,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,06:00,13:20,7h 20m,1 stop,No info,30284.0
762,Jet Airways,12/04/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,36736.0
763,Air India,6/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,36036.0
764,IndiGo,21/03/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 22 Mar,2h 20m,non-stop,No info,35795.0
765,Air India,27/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,07:40 28 May,19h 40m,2 stops,No info,21919.0
766,IndiGo,9/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,04:55,21:20,16h 25m,2 stops,No info,30323.0
767,GoAir,27/06/2019,Banglore,Delhi,BLR → DEL,20:55,23:40,2h 45m,non-stop,No info,36022.0
768,Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 13 Jun,22h 55m,2 stops,In-flight meal not included,17861.0
769,Air India,21/05/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:40,1h 20m,non-stop,No info,35310.0
770,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:15,11h 45m,1 stop,No info,22191.0
771,Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,23:00,8h 55m,1 stop,In-flight meal not included,12184.0
772,Air India,9/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,26830.0
773,Vistara,3/06/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,36007.0
774,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,No info,21976.0
775,Air Asia,1/05/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,35966.0
776,Multiple carriers,9/03/2019,Delhi,Cochin,DEL → HYD → COK,09:45,22:20,12h 35m,1 stop,No info,28536.0
777,SpiceJet,12/06/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 13 Jun,2h 55m,non-stop,No info,36107.0
778,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,12:00 25 May,21h 55m,1 stop,No info,20200.0
779,Vistara,21/06/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,35598.0
780,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:15,7h 45m,1 stop,No info,24368.0
781,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,15:15,01:30 19 May,10h 15m,1 stop,No info,11040.0
782,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,18:15 16 May,21h 5m,1 stop,In-flight meal not included,20717.0
783,GoAir,24/05/2019,Delhi,Cochin,DEL → AMD → COK,07:25,13:35,6h 10m,1 stop,No info,24330.0
784,Jet Airways,21/03/2019,Delhi,Cochin,DEL → MAA → BOM → COK,16:10,18:50 22 Mar,26h 40m,2 stops,In-flight meal not included,23720.0
785,IndiGo,3/03/2019,Delhi,Cochin,DEL → BOM → COK,17:10,01:35 04 Mar,8h 25m,1 stop,No info,14269.0
786,Air India,6/03/2019,Delhi,Cochin,DEL → NAG → BOM → COK,05:55,19:15 07 Mar,37h 20m,2 stops,No info,28875.0
787,Air Asia,6/05/2019,Kolkata,Banglore,CCU → BBI → BLR,06:50,10:30,3h 40m,1 stop,No info,37393.0
788,Jet Airways,27/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,In-flight meal not included,26652.0
789,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1 stop,No info,21317.0
790,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 19 May,21h 10m,1 stop,No info,20786.0
791,Jet Airways,24/04/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,35698.0
792,GoAir,15/04/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,36365.0
793,Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 29 Jun,29h 20m,2 stops,No info,17009.0
794,Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 13 Jun,22h 55m,2 stops,In-flight meal not included,17861.0
795,IndiGo,12/03/2019,Chennai,Kolkata,MAA → CCU,05:15,07:35,2h 20m,non-stop,No info,35696.0
796,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,10:55 19 May,14h 30m,1 stop,No info,20900.0
797,Air India,15/03/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,35437.0
798,IndiGo,27/05/2019,Delhi,Cochin,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No info,37519.0
799,IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,36325.0
800,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 22 Mar,9h 10m,1 stop,In-flight meal not included,17866.0
801,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,No info,27214.0
802,Vistara,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,23:25 10 May,27h 5m,1 stop,No info,20608.0
803,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,In-flight meal not included,22365.0
804,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:00,8h 25m,1 stop,No info,20992.0
805,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,19:40 25 Mar,22h 30m,1 stop,No info,22516.0
806,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,11:25 07 Mar,12h 35m,1 stop,No info,16505.0
807,SpiceJet,12/06/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,36402.0
808,Multiple carriers,1/05/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,23484.0
809,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,21800.0
810,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,In-flight meal not included,21347.0
811,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,22:35,8h 30m,1 stop,In-flight meal not included,19785.0
812,IndiGo,21/05/2019,Delhi,Cochin,DEL → HYD → COK,05:05,18:10,13h 5m,1 stop,No info,22863.0
813,Vistara Premium economy,03/03/2019,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No info,5753.0
814,IndiGo,18/05/2019,Delhi,Cochin,DEL → BOM → COK,09:15,21:00,11h 45m,1 stop,No info,22136.0
815,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,In-flight meal not included,22087.0
816,Jet Airways,9/03/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,35698.0
817,Air Asia,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,22:30,10:40 25 Mar,12h 10m,1 stop,No info,21663.0
818,IndiGo,9/06/2019,Kolkata,Banglore,CCU → HYD → BLR,04:50,09:50,5h,1 stop,No info,38356.0
819,Air India,6/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,09:25,15:05 07 May,29h 40m,2 stops,No info,25639.0
820,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,No info,21599.0
821,IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,21702.0
822,Air India,12/05/2019,Kolkata,Banglore,CCU → BOM → AMD → BLR,09:25,05:25 13 May,20h,2 stops,No info,41937.0
823,Jet Airways,12/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,18:20,04:25 13 Jun,10h 5m,2 stops,No info,18371.0
824,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,17:40,00:55 22 May,7h 15m,1 stop,No info,10592.0
825,IndiGo,27/03/2019,Delhi,Cochin,DEL → HYD → COK,08:35,22:20,13h 45m,1 stop,No info,23713.0
826,SpiceJet,3/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,36118.0
827,IndiGo,27/06/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,36001.0
828,Air India,24/03/2019,Banglore,New Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,4207.0
829,Jet Airways,27/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:25,18:50,13h 25m,2 stops,No info,29735.0
830,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,12:00 13 Jun,27h 35m,1 stop,In-flight meal not included,21259.0
831,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,04:25 10 Mar,12h 25m,1 stop,In-flight meal not included,18838.0
832,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,12:35 22 May,21h 35m,1 stop,In-flight meal not included,19900.0
833,Air India,12/06/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,09:25,13:45 13 Jun,28h 20m,2 stops,No info,24276.0
834,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:55 25 May,17h 55m,1 stop,No info,20106.0
835,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,10:00,18:50,8h 50m,1 stop,No info,24334.0
836,Air India,15/05/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,35173.0
837,Air India,21/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,19:15 22 Mar,26h,2 stops,No info,21151.0
838,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,In-flight meal not included,22059.0
839,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40 07 Jun,14h 35m,1 stop,In-flight meal not included,21762.0
840,Jet Airways,12/04/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,36736.0
841,SpiceJet,18/05/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 19 May,2h 20m,non-stop,No check-in baggage included,35553.0
842,IndiGo,9/05/2019,Banglore,Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,36106.0
843,Jet Airways,27/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,35535.0
844,Air India,9/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,07:40 10 Mar,25h 45m,2 stops,No info,30761.0
845,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,01:30 04 Jun,11h 30m,1 stop,No info,11278.0
846,SpiceJet,3/03/2019,Chennai,Kolkata,MAA → CCU,09:30,12:05,2h 35m,non-stop,No info,36188.0
847,Jet Airways,15/06/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,36968.0
848,Air India,18/05/2019,Delhi,Cochin,DEL → BOM → COK,20:00,07:40 19 May,11h 40m,1 stop,No info,21943.0
849,GoAir,24/03/2019,Banglore,New Delhi,BLR → DEL,20:55,23:50,2h 55m,non-stop,No info,5874.0
850,SpiceJet,3/03/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,37347.0
851,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,11h 30m,1 stop,No info,21888.0
852,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,21:00,9h 20m,1 stop,No info,21485.0
853,Air India,12/05/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,36012.0
854,SpiceJet,1/04/2019,Kolkata,Banglore,CCU → IXB → BLR,11:15,18:30,7h 15m,1 stop,No info,24570.0
855,Vistara,24/06/2019,Banglore,Delhi,BLR → DEL,11:30,14:20,2h 50m,non-stop,No info,36013.0
856,Air India,27/05/2019,Delhi,Cochin,DEL → CCU → BOM → COK,16:55,19:15 28 May,26h 20m,2 stops,No info,22042.0
857,IndiGo,12/06/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,4h 50m,1 stop,No info,38306.0
858,IndiGo,27/06/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,35910.0
859,IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2h 50m,non-stop,No info,36039.0
860,IndiGo,9/03/2019,Delhi,Cochin,DEL → BOM → COK,17:10,01:35 10 Mar,8h 25m,1 stop,No info,12103.0
861,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:45 25 Mar,9h 50m,1 stop,In-flight meal not included,21894.0
862,Air India,1/06/2019,Delhi,Cochin,DEL → UDR → BOM → COK,13:20,07:40 02 Jun,18h 20m,2 stops,No info,23128.0
863,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,18:25,11h 25m,1 stop,No info,12671.0
864,Air India,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:30,08:55 02 May,12h 25m,1 stop,No info,21378.0
865,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,03:50,12:35,8h 45m,1 stop,No info,21057.0
866,IndiGo,12/06/2019,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,36195.0
867,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,21734.0
868,Vistara,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,22:40 02 May,26h 20m,1 stop,No info,21117.0
869,SpiceJet,18/04/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,35505.0
870,Air Asia,6/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8h 20m,2 stops,No info,22743.0
871,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 25 Jun,5h 35m,1 stop,In-flight meal not included,23262.0
872,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,09:55,21:00,11h 5m,1 stop,No info,29085.0
873,Air India,9/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:05,09:25 10 Jun,20h 20m,2 stops,No info,22314.0
874,IndiGo,21/03/2019,Chennai,Kolkata,MAA → CCU,14:40,17:05,2h 25m,non-stop,No info,36399.0
875,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,11:35,01:35 07 Mar,14h,3 stops,No info,20736.0
876,Vistara,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,10:45 25 May,27h 35m,1 stop,No info,21929.0
877,Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → IDR → GWL → DEL,08:50,18:05 13 Mar,33h 15m,3 stops,No info,17197.0
878,SpiceJet,3/04/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,35935.0
879,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,22191.0
880,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BDQ → DEL,05:50,12:20,6h 30m,1 stop,No info,18476.0
881,GoAir,15/05/2019,Banglore,Delhi,BLR → DEL,20:55,23:40,2h 45m,non-stop,No info,35989.0
882,Jet Airways,3/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,35594.0
883,Jet Airways,27/05/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,36011.0
884,Jet Airways,27/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 29 May,29h 20m,2 stops,No info,17317.0
885,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,04:25 22 Mar,21h 20m,1 stop,In-flight meal not included,17529.0
886,Air India,27/06/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,35650.0
887,SpiceJet,21/04/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 22 Apr,2h 55m,non-stop,No check-in baggage included,35980.0
888,Air India,12/06/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,13:45 13 Jun,27h 45m,2 stops,No info,24276.0
889,Vistara,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,20:20,13h 10m,1 stop,No info,22356.0
890,IndiGo,9/06/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,36374.0
891,SpiceJet,12/05/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,36077.0
892,IndiGo,21/03/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:35 22 Mar,8h 5m,1 stop,No info,12257.0
893,IndiGo,1/05/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 02 May,2h 40m,non-stop,No info,35611.0
894,IndiGo,9/05/2019,Banglore,Delhi,BLR → DEL,00:30,03:25,2h 55m,non-stop,No info,35844.0
895,Air India,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,07:55 13 May,22h 30m,1 stop,No info,22984.0
896,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,19:00 02 Jun,24h 45m,1 stop,In-flight meal not included,19662.0
897,Multiple carriers,6/05/2019,Delhi,Cochin,DEL → HYD → COK,14:55,22:30,7h 35m,1 stop,No info,20471.0
898,Jet Airways,6/06/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,35685.0
899,Air India,12/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 13 Jun,21h 15m,2 stops,No info,22562.0
900,IndiGo,9/05/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 10 May,2h 50m,non-stop,No info,35946.0
901,Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,23:00,16h,1 stop,In-flight meal not included,11968.0
902,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 28 Jun,12h 30m,1 stop,No info,11260.0
903,Jet Airways,27/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 May,19h 55m,2 stops,No info,20727.0
904,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,In-flight meal not included,22097.0
905,Air India,12/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,20:00,23:45 13 Mar,27h 45m,1 stop,No info,27441.0
906,IndiGo,6/05/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,36089.0
907,Air India,27/03/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,36074.0
908,Air India,24/06/2019,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,non-stop,No info,35386.0
909,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,20:00,22:55,2h 55m,non-stop,No info,5936.0
910,Air India,6/03/2019,Mumbai,Hyderabad,BOM → JDH → DEL → HYD,09:40,09:10 07 Mar,23h 30m,2 stops,No info,33185.0
911,Air India,3/03/2019,Delhi,Cochin,DEL → BLR → COK,20:30,08:15 04 Mar,11h 45m,1 stop,No info,27548.0
912,Air India,12/06/2019,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No info,36558.0
913,SpiceJet,27/04/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,35454.0
914,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,17:45,01:30 19 May,7h 45m,1 stop,No info,12051.0
915,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,29037.0
